Song,Artist,ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,danceability.1,energy.1,key.1,loudness.1,mode.1,speechiness.1,acousticness.1,instrumentalness.1,liveness.1,valence.1,tempo.1,type.1,id.1,uri.1,track_href.1,analysis_url.1,duration_ms.1,time_signature.1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bury Me In Georgia,Kane Brown,7zVCrzzEJU7u24sbJPXA5W,0.391,0.816,2,-5.746,0,0.066,0.0169,0.0,0.0893,0.457,160.001,audio_features,2mltIbKkhQqyh8gCzaqxqA,spotify:track:2mltIbKkhQqyh8gCzaqxqA,https://api.spotify.com/v1/tracks/2mltIbKkhQqyh8gCzaqxqA,https://api.spotify.com/v1/audio-analysis/2mltIbKkhQqyh8gCzaqxqA,170683,4,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,audio_features,7zVCrzzEJU7u24sbJPXA5W,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,188253,4,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,audio_features,7zVCrzzEJU7u24sbJPXA5W,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,188253,4
Area Codes,Kaliii,7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,7sliFe6W30tPBPh6dvZsIH,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326,4,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,7sliFe6W30tPBPh6dvZsIH,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326,4,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,7sliFe6W30tPBPh6dvZsIH,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326,4
Love You Anyway,Luke Combs,2kYevr8cbIAH2ha8210Bnz,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,2kYevr8cbIAH2ha8210Bnz,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,2kYevr8cbIAH2ha8210Bnz,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,2kYevr8cbIAH2ha8210Bnz,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",7mXuWTczZNxG5EDcjFEuJR,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845,4,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,audio_features,7mXuWTczZNxG5EDcjFEuJR,spotify:track:7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/audio-analysis/7mXuWTczZNxG5EDcjFEuJR,212878,3,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,audio_features,7mXuWTczZNxG5EDcjFEuJR,spotify:track:7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/audio-analysis/7mXuWTczZNxG5EDcjFEuJR,212878,3
I Gotta,Lil Uzi Vert,3lcfs9Qjfxzy00VSVkixDv,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,audio_features,3lcfs9Qjfxzy00VSVkixDv,spotify:track:3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/tracks/3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/audio-analysis/3lcfs9Qjfxzy00VSVkixDv,173026,4,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,audio_features,3lcfs9Qjfxzy00VSVkixDv,spotify:track:3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/tracks/3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/audio-analysis/3lcfs9Qjfxzy00VSVkixDv,173026,4,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,audio_features,3lcfs9Qjfxzy00VSVkixDv,spotify:track:3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/tracks/3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/audio-analysis/3lcfs9Qjfxzy00VSVkixDv,173026,4
Party In The U.S.A.,Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,5Q0Nhxo0l2bP3pNjpGJwV1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,5Q0Nhxo0l2bP3pNjpGJwV1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,5Q0Nhxo0l2bP3pNjpGJwV1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4
Spin Again,Lil Uzi Vert,1pDbGAAH5GQ8U0KG4fI77H,0.619,0.606,1,-4.252,1,0.0784,0.0268,0.0,0.375,0.0669,140.023,audio_features,1pDbGAAH5GQ8U0KG4fI77H,spotify:track:1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/tracks/1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/audio-analysis/1pDbGAAH5GQ8U0KG4fI77H,97770,4,0.619,0.606,1,-4.252,1,0.0784,0.0268,0.0,0.375,0.0669,140.023,audio_features,1pDbGAAH5GQ8U0KG4fI77H,spotify:track:1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/tracks/1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/audio-analysis/1pDbGAAH5GQ8U0KG4fI77H,97770,4,0.619,0.606,1,-4.252,1,0.0784,0.0268,0.0,0.375,0.0669,140.023,audio_features,1pDbGAAH5GQ8U0KG4fI77H,spotify:track:1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/tracks/1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/audio-analysis/1pDbGAAH5GQ8U0KG4fI77H,97770,4
Crush Em,Lil Uzi Vert,11pn4LFXCIXyprWQk8RSlM,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,audio_features,11pn4LFXCIXyprWQk8RSlM,spotify:track:11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/tracks/11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/audio-analysis/11pn4LFXCIXyprWQk8RSlM,165589,4,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,audio_features,11pn4LFXCIXyprWQk8RSlM,spotify:track:11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/tracks/11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/audio-analysis/11pn4LFXCIXyprWQk8RSlM,165589,4,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,audio_features,11pn4LFXCIXyprWQk8RSlM,spotify:track:11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/tracks/11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/audio-analysis/11pn4LFXCIXyprWQk8RSlM,165589,4
X2,Lil Uzi Vert,3a36nM6fPVA8K1vqq6d03o,0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,audio_features,0FA4wrjDJvJTTU8AepZTup,spotify:track:0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/tracks/0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/audio-analysis/0FA4wrjDJvJTTU8AepZTup,163139,4,0.64,0.891,10,-4.639,0,0.135,0.00467,0.0,0.132,0.449,148.054,audio_features,3a36nM6fPVA8K1vqq6d03o,spotify:track:3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/tracks/3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/audio-analysis/3a36nM6fPVA8K1vqq6d03o,234324,3,0.64,0.891,10,-4.639,0,0.135,0.00467,0.0,0.132,0.449,148.054,audio_features,3a36nM6fPVA8K1vqq6d03o,spotify:track:3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/tracks/3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/audio-analysis/3a36nM6fPVA8K1vqq6d03o,234324,3
TQM,Fuerza Regida,368eeEO3Y2uZUQ6S5oIjcu,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,audio_features,368eeEO3Y2uZUQ6S5oIjcu,spotify:track:368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/tracks/368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/audio-analysis/368eeEO3Y2uZUQ6S5oIjcu,157252,3,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,audio_features,368eeEO3Y2uZUQ6S5oIjcu,spotify:track:368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/tracks/368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/audio-analysis/368eeEO3Y2uZUQ6S5oIjcu,157252,3,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,audio_features,368eeEO3Y2uZUQ6S5oIjcu,spotify:track:368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/tracks/368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/audio-analysis/368eeEO3Y2uZUQ6S5oIjcu,157252,3
Princess Diana,Ice Spice & Nicki Minaj,0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4
Oh U Went,Young Thug Featuring Drake,7qLr3HMApUbyDkUvgIvHnB,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,audio_features,7qLr3HMApUbyDkUvgIvHnB,spotify:track:7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/tracks/7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/audio-analysis/7qLr3HMApUbyDkUvgIvHnB,185333,4,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,audio_features,7qLr3HMApUbyDkUvgIvHnB,spotify:track:7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/tracks/7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/audio-analysis/7qLr3HMApUbyDkUvgIvHnB,185333,4,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,audio_features,7qLr3HMApUbyDkUvgIvHnB,spotify:track:7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/tracks/7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/audio-analysis/7qLr3HMApUbyDkUvgIvHnB,185333,4
Mojabi Ghost,Tainy & Bad Bunny,4eMKD8MRroxCqugpsxCCNb,0.661,0.678,2,-7.553,1,0.0459,0.00291,0.0892,0.283,0.196,126.082,audio_features,1dpaN50PdAeiXHYwgK9g2v,spotify:track:1dpaN50PdAeiXHYwgK9g2v,https://api.spotify.com/v1/tracks/1dpaN50PdAeiXHYwgK9g2v,https://api.spotify.com/v1/audio-analysis/1dpaN50PdAeiXHYwgK9g2v,209529,4,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71e-05,0.563,0.744,122.014,audio_features,4eMKD8MRroxCqugpsxCCNb,spotify:track:4eMKD8MRroxCqugpsxCCNb,https://api.spotify.com/v1/tracks/4eMKD8MRroxCqugpsxCCNb,https://api.spotify.com/v1/audio-analysis/4eMKD8MRroxCqugpsxCCNb,228197,4,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71e-05,0.563,0.744,122.014,audio_features,4eMKD8MRroxCqugpsxCCNb,spotify:track:4eMKD8MRroxCqugpsxCCNb,https://api.spotify.com/v1/tracks/4eMKD8MRroxCqugpsxCCNb,https://api.spotify.com/v1/audio-analysis/4eMKD8MRroxCqugpsxCCNb,228197,4
Stand By Me,Lil Durk Featuring Morgan Wallen,1fXnu2HzxbDtoyvFPWG3Bw,0.756,0.582,11,-7.726,1,0.0343,0.0592,0.0,0.161,0.605,134.07,audio_features,1fXnu2HzxbDtoyvFPWG3Bw,spotify:track:1fXnu2HzxbDtoyvFPWG3Bw,https://api.spotify.com/v1/tracks/1fXnu2HzxbDtoyvFPWG3Bw,https://api.spotify.com/v1/audio-analysis/1fXnu2HzxbDtoyvFPWG3Bw,218489,4,0.756,0.582,11,-7.726,1,0.0343,0.0592,0.0,0.161,0.605,134.07,audio_features,1fXnu2HzxbDtoyvFPWG3Bw,spotify:track:1fXnu2HzxbDtoyvFPWG3Bw,https://api.spotify.com/v1/tracks/1fXnu2HzxbDtoyvFPWG3Bw,https://api.spotify.com/v1/audio-analysis/1fXnu2HzxbDtoyvFPWG3Bw,218489,4,0.756,0.582,11,-7.726,1,0.0343,0.0592,0.0,0.161,0.605,134.07,audio_features,1fXnu2HzxbDtoyvFPWG3Bw,spotify:track:1fXnu2HzxbDtoyvFPWG3Bw,https://api.spotify.com/v1/tracks/1fXnu2HzxbDtoyvFPWG3Bw,https://api.spotify.com/v1/audio-analysis/1fXnu2HzxbDtoyvFPWG3Bw,218489,4
Luna,Peso Pluma & Junior H,3RA55zrRkyPK8Fd86hrMy8,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,audio_features,3RA55zrRkyPK8Fd86hrMy8,spotify:track:3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/tracks/3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/audio-analysis/3RA55zrRkyPK8Fd86hrMy8,163552,3,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,audio_features,3RA55zrRkyPK8Fd86hrMy8,spotify:track:3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/tracks/3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/audio-analysis/3RA55zrRkyPK8Fd86hrMy8,163552,3,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,audio_features,3RA55zrRkyPK8Fd86hrMy8,spotify:track:3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/tracks/3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/audio-analysis/3RA55zrRkyPK8Fd86hrMy8,163552,3
Pluto To Mars,Lil Uzi Vert,0WCJSIy75ZVxqY51ce0enc,0.807,0.627,11,-6.829,1,0.0771,0.0225,0.0,0.0904,0.761,122.963,audio_features,0WCJSIy75ZVxqY51ce0enc,spotify:track:0WCJSIy75ZVxqY51ce0enc,https://api.spotify.com/v1/tracks/0WCJSIy75ZVxqY51ce0enc,https://api.spotify.com/v1/audio-analysis/0WCJSIy75ZVxqY51ce0enc,246497,4,0.807,0.627,11,-6.829,1,0.0771,0.0225,0.0,0.0904,0.761,122.963,audio_features,0WCJSIy75ZVxqY51ce0enc,spotify:track:0WCJSIy75ZVxqY51ce0enc,https://api.spotify.com/v1/tracks/0WCJSIy75ZVxqY51ce0enc,https://api.spotify.com/v1/audio-analysis/0WCJSIy75ZVxqY51ce0enc,246497,4,0.807,0.627,11,-6.829,1,0.0771,0.0225,0.0,0.0904,0.761,122.963,audio_features,0WCJSIy75ZVxqY51ce0enc,spotify:track:0WCJSIy75ZVxqY51ce0enc,https://api.spotify.com/v1/tracks/0WCJSIy75ZVxqY51ce0enc,https://api.spotify.com/v1/audio-analysis/0WCJSIy75ZVxqY51ce0enc,246497,4
Bye,Peso Pluma,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845,4,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845,4,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845,4
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,5AqiaZwhmC6dIbgWrD5SzV,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,audio_features,5AqiaZwhmC6dIbgWrD5SzV,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/tracks/5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/audio-analysis/5AqiaZwhmC6dIbgWrD5SzV,187660,3,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,audio_features,5AqiaZwhmC6dIbgWrD5SzV,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/tracks/5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/audio-analysis/5AqiaZwhmC6dIbgWrD5SzV,187660,3,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,audio_features,5AqiaZwhmC6dIbgWrD5SzV,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/tracks/5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/audio-analysis/5AqiaZwhmC6dIbgWrD5SzV,187660,3
Peaches & Eggplants,Young Nudy Featuring 21 Savage,2KcQ0PbPj0O3P48B9YX7iN,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,2KcQ0PbPj0O3P48B9YX7iN,spotify:track:2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/tracks/2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/audio-analysis/2KcQ0PbPj0O3P48B9YX7iN,203813,4,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,2KcQ0PbPj0O3P48B9YX7iN,spotify:track:2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/tracks/2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/audio-analysis/2KcQ0PbPj0O3P48B9YX7iN,203813,4,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,2KcQ0PbPj0O3P48B9YX7iN,spotify:track:2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/tracks/2KcQ0PbPj0O3P48B9YX7iN,https://api.spotify.com/v1/audio-analysis/2KcQ0PbPj0O3P48B9YX7iN,203813,4
Your Heart Or Mine,Jon Pardi,7ETjhPaIU4UmHOiimJBZz9,0.639,0.713,5,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,audio_features,7ETjhPaIU4UmHOiimJBZz9,spotify:track:7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/tracks/7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/audio-analysis/7ETjhPaIU4UmHOiimJBZz9,161200,4,0.639,0.713,5,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,audio_features,7ETjhPaIU4UmHOiimJBZz9,spotify:track:7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/tracks/7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/audio-analysis/7ETjhPaIU4UmHOiimJBZz9,161200,4,0.639,0.713,5,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,audio_features,7ETjhPaIU4UmHOiimJBZz9,spotify:track:7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/tracks/7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/audio-analysis/7ETjhPaIU4UmHOiimJBZz9,161200,4
"Mama, I'm Sorry",Lil Uzi Vert,5V5Xpbmqi2rp1xSJWZTvYu,0.783,0.594,4,-4.943,0,0.105,0.774,0.0,0.169,0.596,128.177,audio_features,5V5Xpbmqi2rp1xSJWZTvYu,spotify:track:5V5Xpbmqi2rp1xSJWZTvYu,https://api.spotify.com/v1/tracks/5V5Xpbmqi2rp1xSJWZTvYu,https://api.spotify.com/v1/audio-analysis/5V5Xpbmqi2rp1xSJWZTvYu,210961,4,0.783,0.594,4,-4.943,0,0.105,0.774,0.0,0.169,0.596,128.177,audio_features,5V5Xpbmqi2rp1xSJWZTvYu,spotify:track:5V5Xpbmqi2rp1xSJWZTvYu,https://api.spotify.com/v1/tracks/5V5Xpbmqi2rp1xSJWZTvYu,https://api.spotify.com/v1/audio-analysis/5V5Xpbmqi2rp1xSJWZTvYu,210961,4,0.783,0.594,4,-4.943,0,0.105,0.774,0.0,0.169,0.596,128.177,audio_features,5V5Xpbmqi2rp1xSJWZTvYu,spotify:track:5V5Xpbmqi2rp1xSJWZTvYu,https://api.spotify.com/v1/tracks/5V5Xpbmqi2rp1xSJWZTvYu,https://api.spotify.com/v1/audio-analysis/5V5Xpbmqi2rp1xSJWZTvYu,210961,4
What It Is (Block Boy),Doechii Featuring Kodak Black,1O8zCu3dLLPxkbGfIsbRgE,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,audio_features,1O8zCu3dLLPxkbGfIsbRgE,spotify:track:1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/tracks/1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/audio-analysis/1O8zCu3dLLPxkbGfIsbRgE,223344,4,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,audio_features,1O8zCu3dLLPxkbGfIsbRgE,spotify:track:1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/tracks/1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/audio-analysis/1O8zCu3dLLPxkbGfIsbRgE,223344,4,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,audio_features,1O8zCu3dLLPxkbGfIsbRgE,spotify:track:1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/tracks/1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/audio-analysis/1O8zCu3dLLPxkbGfIsbRgE,223344,4
